Operation Phoenix Weapon Case->Negev | Terrain (Field-Tested) (blue)
Gamma Case->Nova | Exo (Factory New) (blue)
Fracture Case->P250 | Cassette (Field-Tested) (blue)
Fracture Case->P90 | Freight (Field-Tested) (blue)
Fracture Case->SG 553 | Ol' Rusty (Minimal Wear) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Danger Zone Case->Sawed-Off | Black Sand (Well-Worn) (blue)
Clutch Case->StatTrak™ R8 Revolver | Grip (Well-Worn) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Minimal Wear) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Well-Worn) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Clutch Case->Nova | Wild Six (Field-Tested) (purple)
Clutch Case->R8 Revolver | Grip (Well-Worn) (blue)
Prisma 2 Case->R8 Revolver | Bone Forged (Field-Tested) (blue)
Clutch Case->R8 Revolver | Grip (Minimal Wear) (blue)
Clutch Case->Five-SeveN | Flame Test (Battle-Scarred) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->PP-Bizon | Night Riot (Minimal Wear) (blue)
Clutch Case->R8 Revolver | Grip (Minimal Wear) (blue)
Clutch Case->MAG-7 | SWAG-7 (Field-Tested) (purple)
Clutch Case->UMP-45 | Arctic Wolf (Field-Tested) (purple)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Operation Broken Fang Case->AWP | Exoskeleton (Field-Tested) (purple)
Operation Broken Fang Case->Dual Berettas | Dezastre (Minimal Wear) (purple)
Operation Broken Fang Case->P250 | Contaminant (Factory New) (blue)
Operation Broken Fang Case->CZ75-Auto | Vendetta (Minimal Wear) (blue)
Operation Broken Fang Case->P90 | Cocoa Rampage (Minimal Wear) (blue)
Operation Broken Fang Case->P250 | Contaminant (Battle-Scarred) (blue)
Operation Broken Fang Case->P250 | Contaminant (Field-Tested) (blue)
Operation Broken Fang Case->G3SG1 | Digital Mesh (Factory New) (blue)
Operation Broken Fang Case->CZ75-Auto | Vendetta (Well-Worn) (blue)
Operation Broken Fang Case->MP5-SD | Condition Zero (Field-Tested) (blue)
Operation Broken Fang Case->MP5-SD | Condition Zero (Field-Tested) (blue)
Operation Broken Fang Case->StatTrak™ G3SG1 | Digital Mesh (Field-Tested) (blue)
Operation Broken Fang Case->M249 | Deep Relief (Minimal Wear) (blue)
Operation Broken Fang Case->Galil AR | Vandal (Well-Worn) (blue)
Operation Broken Fang Case->Five-SeveN | Fairy Tale (Well-Worn) (pink)
Operation Broken Fang Case->CZ75-Auto | Vendetta (Field-Tested) (blue)
Operation Broken Fang Case->P90 | Cocoa Rampage (Minimal Wear) (blue)
Operation Broken Fang Case->StatTrak™ P250 | Contaminant (Field-Tested) (blue)
Operation Broken Fang Case->P90 | Cocoa Rampage (Field-Tested) (blue)
Operation Broken Fang Case->StatTrak™ P90 | Cocoa Rampage (Minimal Wear) (blue)
Operation Broken Fang Case->P250 | Contaminant (Field-Tested) (blue)
Operation Broken Fang Case->P90 | Cocoa Rampage (Field-Tested) (blue)
Operation Broken Fang Case->StatTrak™ MP5-SD | Condition Zero (Field-Tested) (blue)
Operation Broken Fang Case->StatTrak™ CZ75-Auto | Vendetta (Minimal Wear) (blue)
Operation Broken Fang Case->MP5-SD | Condition Zero (Factory New) (blue)
Operation Broken Fang Case->P90 | Cocoa Rampage (Field-Tested) (blue)
Operation Broken Fang Case->StatTrak™ G3SG1 | Digital Mesh (Well-Worn) (blue)
Operation Broken Fang Case->P90 | Cocoa Rampage (Field-Tested) (blue)
Operation Broken Fang Case->AWP | Exoskeleton (Field-Tested) (purple)
Operation Broken Fang Case->G3SG1 | Digital Mesh (Factory New) (blue)
Operation Broken Fang Case->StatTrak™ MP5-SD | Condition Zero (Field-Tested) (blue)
Operation Broken Fang Case->MP5-SD | Condition Zero (Factory New) (blue)
Clutch Case->StatTrak™ P2000 | Urban Hazard (Well-Worn) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Clutch Case->Nova | Wild Six (Field-Tested) (purple)
Clutch Case->P2000 | Urban Hazard (Well-Worn) (blue)
Clutch Case->Five-SeveN | Flame Test (Factory New) (blue)
Clutch Case->PP-Bizon | Night Riot (Minimal Wear) (blue)
Operation Broken Fang Case->P250 | Contaminant (Minimal Wear) (blue)
Operation Broken Fang Case->P90 | Cocoa Rampage (Factory New) (blue)
Operation Broken Fang Case->G3SG1 | Digital Mesh (Minimal Wear) (blue)
Operation Broken Fang Case->UMP-45 | Gold Bismuth (Battle-Scarred) (purple)
Operation Broken Fang Case->AWP | Exoskeleton (Field-Tested) (purple)
Prisma Case->MAC-10 | Whitefish (Battle-Scarred) (blue)
Prisma Case->FAMAS | Crypsis (Factory New) (blue)
Fracture Case->SG 553 | Ol' Rusty (Minimal Wear) (blue)
Prisma Case->P250 | Verdigris (Battle-Scarred) (blue)
Fracture Case->M4A4 | Tooth Fairy (Minimal Wear) (pink)
Prisma 2 Case->CZ75-Auto | Distressed (Minimal Wear) (blue)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Fracture Case->PP-Bizon | Runic (Well-Worn) (blue)
Fracture Case->MAC-10 | Allure (Field-Tested) (purple)
Fracture Case->Tec-9 | Brother (Minimal Wear) (purple)
Fracture Case->P2000 | Gnarled (Minimal Wear) (blue)
Fracture Case->StatTrak™ P250 | Cassette (Field-Tested) (blue)
Fracture Case->SSG 08 | Mainframe 001 (Well-Worn) (blue)
Fracture Case->Galil AR | Connexion (Field-Tested) (purple)
Fracture Case->P2000 | Gnarled (Battle-Scarred) (blue)
Fracture Case->StatTrak™ P2000 | Gnarled (Well-Worn) (blue)
Fracture Case->MP5-SD | Kitbash (Field-Tested) (purple)
Clutch Case->Nova | Wild Six (Minimal Wear) (purple)
Fracture Case->P2000 | Gnarled (Battle-Scarred) (blue)
Prisma Case->MP7 | Mischief (Field-Tested) (blue)
Clutch Case->R8 Revolver | Grip (Minimal Wear) (blue)
Clutch Case->R8 Revolver | Grip (Minimal Wear) (blue)
CS20 Case->UMP-45 | Plastique (Battle-Scarred) (purple)
Operation Broken Fang Case->AWP | Exoskeleton (Field-Tested) (purple)
Prisma Case->R8 Revolver | Skull Crusher (Field-Tested) (pink)
Fracture Case->Galil AR | Connexion (Field-Tested) (purple)
Fracture Case->P90 | Freight (Field-Tested) (blue)
Fracture Case->MAG-7 | Monster Call (Well-Worn) (purple)
Fracture Case->SSG 08 | Mainframe 001 (Battle-Scarred) (blue)
Fracture Case->PP-Bizon | Runic (Minimal Wear) (blue)
Fracture Case->SSG 08 | Mainframe 001 (Well-Worn) (blue)
Fracture Case->P90 | Freight (Minimal Wear) (blue)
Fracture Case->PP-Bizon | Runic (Minimal Wear) (blue)
Fracture Case->P250 | Cassette (Field-Tested) (blue)
Fracture Case->Negev | Ultralight (Minimal Wear) (blue)
Fracture Case->Negev | Ultralight (Minimal Wear) (blue)
Fracture Case->MAG-7 | Monster Call (Field-Tested) (purple)
Fracture Case->P2000 | Gnarled (Well-Worn) (blue)
Fracture Case->StatTrak™ Negev | Ultralight (Field-Tested) (blue)
Fracture Case->Negev | Ultralight (Field-Tested) (blue)
Fracture Case->P90 | Freight (Battle-Scarred) (blue)
Fracture Case->StatTrak™ MAC-10 | Allure (Minimal Wear) (purple)
Fracture Case->XM1014 | Entombed (Factory New) (pink)
Fracture Case->P250 | Cassette (Factory New) (blue)
Fracture Case->PP-Bizon | Runic (Well-Worn) (blue)
Fracture Case->P250 | Cassette (Field-Tested) (blue)
Fracture Case->SG 553 | Ol' Rusty (Factory New) (blue)
Fracture Case->P2000 | Gnarled (Well-Worn) (blue)
Fracture Case->P250 | Cassette (Minimal Wear) (blue)
Fracture Case->Negev | Ultralight (Field-Tested) (blue)
Fracture Case->SG 553 | Ol' Rusty (Minimal Wear) (blue)
Fracture Case->SSG 08 | Mainframe 001 (Well-Worn) (blue)
Fracture Case->StatTrak™ PP-Bizon | Runic (Minimal Wear) (blue)
Fracture Case->P90 | Freight (Well-Worn) (blue)
Fracture Case->SG 553 | Ol' Rusty (Field-Tested) (blue)
Fracture Case->MP5-SD | Kitbash (Field-Tested) (purple)
Prisma 2 Case->StatTrak™ Sawed-Off | Apocalypto (Well-Worn) (purple)
Snakebite Case->CZ75-Auto | Circaetus (Field-Tested) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Battle-Scarred) (blue)
Clutch Case->MP9 | Black Sand (Field-Tested) (blue)
Clutch Case->UMP-45 | Arctic Wolf (Field-Tested) (purple)
Clutch Case->Five-SeveN | Flame Test (Minimal Wear) (blue)
Snakebite Case->R8 Revolver | Junk Yard (Field-Tested) (blue)
Danger Zone Case->Glock-18 | Oxide Blaze (Field-Tested) (blue)
Operation Broken Fang Case->M249 | Deep Relief (Minimal Wear) (blue)
Operation Broken Fang Case->UMP-45 | Gold Bismuth (Field-Tested) (purple)
Danger Zone Case->Glock-18 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->SG 553 | Aloha (Factory New) (blue)
Clutch Case->StatTrak™ Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->XM1014 | Oxide Blaze (Factory New) (blue)
Clutch Case->XM1014 | Oxide Blaze (Minimal Wear) (blue)
Clutch Case->R8 Revolver | Grip (Field-Tested) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->StatTrak™ SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Field-Tested) (blue)
Clutch Case->PP-Bizon | Night Riot (Minimal Wear) (blue)
Clutch Case->Nova | Wild Six (Minimal Wear) (purple)
Clutch Case->StatTrak™ P2000 | Urban Hazard (Field-Tested) (blue)
Clutch Case->StatTrak™ P2000 | Urban Hazard (Field-Tested) (blue)
Clutch Case->MP9 | Black Sand (Minimal Wear) (blue)
Clutch Case->MP7 | Bloodsport (Field-Tested) (red)
Clutch Case->StatTrak™ PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->P2000 | Urban Hazard (Well-Worn) (blue)
Clutch Case->Negev | Lionfish (Field-Tested) (purple)
Clutch Case->USP-S | Cortex (Field-Tested) (pink)
Clutch Case->MAG-7 | SWAG-7 (Battle-Scarred) (purple)
Prisma 2 Case->StatTrak™ AUG | Tom Cat (Field-Tested) (blue)
Clutch Case->PP-Bizon | Night Riot (Field-Tested) (blue)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->PP-Bizon | Night Riot (Minimal Wear) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Clutch Case->USP-S | Cortex (Field-Tested) (pink)
Clutch Case->XM1014 | Oxide Blaze (Field-Tested) (blue)
Clutch Case->Five-SeveN | Flame Test (Field-Tested) (blue)
Clutch Case->SG 553 | Aloha (Field-Tested) (blue)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Clutch Case->Five-SeveN | Flame Test (Minimal Wear) (blue)
Clutch Case->Glock-18 | Moonrise (Minimal Wear) (purple)
Clutch Case->MP9 | Black Sand (Well-Worn) (blue)
Operation Phoenix Weapon Case->MAG-7 | Heaven Guard (Field-Tested) (blue)
Prisma Case->Desert Eagle | Light Rail (Field-Tested) (purple)
Danger Zone Case->M4A4 | Magnesium (Battle-Scarred) (blue)
Prisma 2 Case->AWP | Capillary (Field-Tested) (blue)
Prisma Case->StatTrak™ P90 | Off World (Battle-Scarred) (blue)
Danger Zone Case->Nova | Wood Fired (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->M4A4 | Spider Lily (Well-Worn) (purple)
Operation Riptide Case->StatTrak™ MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Well-Worn) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Field-Tested) (purple)
Operation Riptide Case->AUG | Plague (Minimal Wear) (blue)
Operation Riptide Case->Five-SeveN | Boost Protocol (Factory New) (purple)
Operation Riptide Case->Dual Berettas | Tread (Well-Worn) (blue)
Operation Riptide Case->SSG 08 | Turbo Peek (Factory New) (pink)
Operation Riptide Case->MP7 | Guerrilla (Battle-Scarred) (blue)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->Dual Berettas | Tread (Minimal Wear) (blue)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Well-Worn) (purple)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->SSG 08 | Turbo Peek (Battle-Scarred) (pink)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Well-Worn) (blue)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->Glock-18 | Snack Attack (Field-Tested) (pink)
Operation Riptide Case->FAMAS | ZX Spectron (Well-Worn) (purple)
Operation Riptide Case->M4A4 | Spider Lily (Battle-Scarred) (purple)
Operation Riptide Case->Dual Berettas | Tread (Minimal Wear) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->MP7 | Guerrilla (Well-Worn) (blue)
Operation Riptide Case->MP7 | Guerrilla (Battle-Scarred) (blue)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Battle-Scarred) (purple)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->MP9 | Mount Fuji (Battle-Scarred) (purple)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->MP9 | Mount Fuji (Battle-Scarred) (purple)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->MP7 | Guerrilla (Well-Worn) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->StatTrak™ G3SG1 | Keeping Tabs (Factory New) (blue)
Operation Riptide Case->MAC-10 | Toybox (Battle-Scarred) (pink)
Operation Riptide Case->PP-Bizon | Lumen (Battle-Scarred) (blue)
Operation Riptide Case->MP7 | Guerrilla (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->XM1014 | Watchdog (Battle-Scarred) (blue)
Operation Riptide Case->AUG | Plague (Minimal Wear) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->MP9 | Mount Fuji (Field-Tested) (purple)
Operation Riptide Case->M4A4 | Spider Lily (Well-Worn) (purple)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->XM1014 | Watchdog (Battle-Scarred) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->MP9 | Mount Fuji (Field-Tested) (purple)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->Desert Eagle | Ocean Drive (Field-Tested) (red)
Operation Riptide Case->MP7 | Guerrilla (Well-Worn) (blue)
Operation Riptide Case->StatTrak™ PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Factory New) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->Glock-18 | Snack Attack (Battle-Scarred) (pink)
Operation Riptide Case->Five-SeveN | Boost Protocol (Field-Tested) (purple)
Operation Riptide Case->StatTrak™ PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->MP7 | Guerrilla (Minimal Wear) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Well-Worn) (purple)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ MP9 | Mount Fuji (Well-Worn) (purple)
Operation Riptide Case->G3SG1 | Keeping Tabs (Battle-Scarred) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->M4A4 | Spider Lily (Battle-Scarred) (purple)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ MP7 | Guerrilla (Well-Worn) (blue)
Operation Riptide Case->Five-SeveN | Boost Protocol (Field-Tested) (purple)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->MAC-10 | Toybox (Field-Tested) (pink)
Operation Riptide Case->USP-S | Black Lotus (Well-Worn) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->MP7 | Guerrilla (Minimal Wear) (blue)
Operation Riptide Case->SSG 08 | Turbo Peek (Field-Tested) (pink)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->M4A4 | Spider Lily (Field-Tested) (purple)
Operation Riptide Case->G3SG1 | Keeping Tabs (Battle-Scarred) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->MP7 | Guerrilla (Minimal Wear) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Well-Worn) (blue)
Operation Riptide Case->Dual Berettas | Tread (Well-Worn) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->Dual Berettas | Tread (Minimal Wear) (blue)
Operation Riptide Case->Dual Berettas | Tread (Well-Worn) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Factory New) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->Glock-18 | Snack Attack (Field-Tested) (pink)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Battle-Scarred) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Minimal Wear) (blue)
Operation Riptide Case->XM1014 | Watchdog (Well-Worn) (blue)
Operation Riptide Case->XM1014 | Watchdog (Well-Worn) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->Five-SeveN | Boost Protocol (Factory New) (purple)
Operation Riptide Case->USP-S | Black Lotus (Battle-Scarred) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Battle-Scarred) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Well-Worn) (blue)
Operation Riptide Case->XM1014 | Watchdog (Well-Worn) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->StatTrak™ Glock-18 | Snack Attack (Factory New) (pink)
Operation Riptide Case->Dual Berettas | Tread (Minimal Wear) (blue)
Operation Riptide Case->StatTrak™ USP-S | Black Lotus (Factory New) (blue)
Operation Riptide Case->StatTrak™ MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Well-Worn) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->Dual Berettas | Tread (Minimal Wear) (blue)
Operation Riptide Case->Five-SeveN | Boost Protocol (Field-Tested) (purple)
Operation Riptide Case->MP7 | Guerrilla (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->Five-SeveN | Boost Protocol (Minimal Wear) (purple)
Operation Riptide Case->XM1014 | Watchdog (Battle-Scarred) (blue)
Operation Riptide Case->MP7 | Guerrilla (Well-Worn) (blue)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->StatTrak™ Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Factory New) (blue)
Operation Riptide Case->AUG | Plague (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Minimal Wear) (blue)
Operation Riptide Case->StatTrak™ Five-SeveN | Boost Protocol (Well-Worn) (purple)
Operation Riptide Case->StatTrak™ MAG-7 | BI83 Spectrum (Field-Tested) (purple)
Operation Riptide Case->MAG-7 | BI83 Spectrum (Field-Tested) (purple)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Factory New) (blue)
Operation Riptide Case->XM1014 | Watchdog (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Factory New) (blue)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Battle-Scarred) (blue)
Operation Riptide Case->Dual Berettas | Tread (Battle-Scarred) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->MAG-7 | BI83 Spectrum (Field-Tested) (purple)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->StatTrak™ Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Battle-Scarred) (blue)
Operation Riptide Case->XM1014 | Watchdog (Field-Tested) (blue)
Operation Riptide Case->USP-S | Black Lotus (Battle-Scarred) (blue)
Operation Riptide Case->USP-S | Black Lotus (Battle-Scarred) (blue)
Operation Riptide Case->MAG-7 | BI83 Spectrum (Battle-Scarred) (purple)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->StatTrak™ AUG | Plague (Factory New) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->MP9 | Mount Fuji (Field-Tested) (purple)
Operation Riptide Case->USP-S | Black Lotus (Field-Tested) (blue)
Operation Riptide Case->G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->Dual Berettas | Tread (Well-Worn) (blue)
Operation Riptide Case->Five-SeveN | Boost Protocol (Field-Tested) (purple)
Operation Riptide Case->StatTrak™ USP-S | Black Lotus (Well-Worn) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->MAC-10 | Toybox (Field-Tested) (pink)
Operation Riptide Case->USP-S | Black Lotus (Well-Worn) (blue)
Operation Riptide Case->MP9 | Mount Fuji (Battle-Scarred) (purple)
Operation Riptide Case->G3SG1 | Keeping Tabs (Field-Tested) (blue)
Operation Riptide Case->StatTrak™ MP7 | Guerrilla (Well-Worn) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Minimal Wear) (purple)
Operation Riptide Case->XM1014 | Watchdog (Battle-Scarred) (blue)
Operation Riptide Case->AUG | Plague (Battle-Scarred) (blue)
Operation Riptide Case->Glock-18 | Snack Attack (Minimal Wear) (pink)
Operation Riptide Case->StatTrak™ G3SG1 | Keeping Tabs (Minimal Wear) (blue)
Operation Riptide Case->FAMAS | ZX Spectron (Factory New) (purple)
Operation Riptide Case->AUG | Plague (Minimal Wear) (blue)
Clutch Case->StatTrak™ UMP-45 | Arctic Wolf (Field-Tested) (purple)
Operation Riptide Case->Dual Berettas | Tread (Field-Tested) (blue)
Operation Riptide Case->M4A4 | Spider Lily (Minimal Wear) (purple)
Operation Riptide Case->MAG-7 | BI83 Spectrum (Field-Tested) (purple)
Operation Riptide Case->FAMAS | ZX Spectron (Minimal Wear) (purple)
Operation Riptide Case->AUG | Plague (Factory New) (blue)
Operation Riptide Case->MP9 | Mount Fuji (Minimal Wear) (purple)
Operation Riptide Case->Glock-18 | Snack Attack (Well-Worn) (pink)
Operation Riptide Case->StatTrak™ XM1014 | Watchdog (Battle-Scarred) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Field-Tested) (blue)
Operation Riptide Case->AUG | Plague (Minimal Wear) (blue)
Operation Riptide Case->AUG | Plague (Field-Tested) (blue)
Operation Riptide Case->PP-Bizon | Lumen (Minimal Wear) (blue)
Operation Riptide Case->USP-S | Black Lotus (Minimal Wear) (blue)
Operation Riptide Case->USP-S | Black Lotus (Well-Worn) (blue)
